מזומנים|סוג מטבע|70|פקדון $ לאומי 11.09 עד 10.10|דולר אמריקאי|ABR|['currency דולר אמריקאי not recognized']
מזומנים|סוג מטבע|71|פקדון $ לאומי 18.09 עד 18.10|דולר אמריקאי|ABR|['currency דולר אמריקאי not recognized']
מזומנים|סוג מטבע|72|פקדון $ לאומי 25.09 עד 18.10|דולר אמריקאי|ABR|['currency דולר אמריקאי not recognized']
מזומנים|סוג מטבע|73|פקדון $ לאומי 25.09 עד 26.12|דולר אמריקאי|ABR|['currency דולר אמריקאי not recognized']
מזומנים|סוג מטבע|74|פקדון $ לאומי 27.09 עד 10.10|דולר אמריקאי|ABR|['currency דולר אמריקאי not recognized']
מזומנים|סוג מטבע|75|HSBC USD- בנק מזרחי|דולר אמריקאי|ABR|['currency דולר אמריקאי not recognized']
מזומנים|סוג מטבע|76|HSBC USD|דולר אמריקאי|ABR|['currency דולר אמריקאי not recognized']
מזומנים|סוג מטבע|77|KRW HSBC|אחר|ABR|['currency אחר not recognized']
מזומנים|סוג מטבע|80|פקדון $ מזרחי 14.09 עד 14.12|דולר אמריקאי|ABR|['currency דולר אמריקאי not recognized']
מזומנים|סוג מטבע|81|פקדון $ מזרחי 25.09 עד 26.12|דולר אמריקאי|ABR|['currency דולר אמריקאי not recognized']
מזומנים|סוג מטבע|82|פקדון $ מזרחי 26.07 עד 26.10|דולר אמריקאי|ABR|['currency דולר אמריקאי not recognized']
מזומנים|שעור מסך נכסי השקעה|5|עו\'ש- אקסלנס נשואה|0|IL|['The value 0 must have 2 numbers after decimal point']
מזומנים|שעור מסך נכסי השקעה|6|עו\'ש- בנק הבינלאומי|1.1614069250591492e-05|IL|['The value 1.1614069250591492e-05 must have 2 numbers after decimal point']
מזומנים|שעור מסך נכסי השקעה|7|עו\'ש- בנק הפועלים|0|IL|['The value 0 must have 2 numbers after decimal point']
מזומנים|שעור מסך נכסי השקעה|8|עו\'ש- בנק לאומי|0.9114886406797796|IL|['The value 0.9114886406797796 must have 2 numbers after decimal point']
מזומנים|שעור מסך נכסי השקעה|9|עו\'ש- בנק מזרחי|0.011248479969601521|IL|['The value 0.011248479969601521 must have 2 numbers after decimal point']
מזומנים|שעור מסך נכסי השקעה|10|עו\'ש|0|IL|['The value 0 must have 2 numbers after decimal point']
מזומנים|שעור מסך נכסי השקעה|12|נייר במעבר דולרי- בנק מזרחי|8.52718036189224e-05|ABR|['The value 8.52718036189224e-05 must have 2 numbers after decimal point']
מזומנים|שעור מסך נכסי השקעה|13|נייר במעבר סחיר- בנק מזרחי|1.207287754195193e-09|ABR|['The value 1.207287754195193e-09 must have 2 numbers after decimal point']
מזומנים|שעור מסך נכסי השקעה|14|רנד דראפ- בנק מזרחי|-9.619357267297184e-08|ABR|['The value -9.619357267297184e-08 must have 2 numbers after decimal point']
מזומנים|שעור מסך נכסי השקעה|15|אירו 1- בנק לאומי|0.005677171058322215|ABR|['The value 0.005677171058322215 must have 2 numbers after decimal point']
מזומנים|שעור מסך נכסי השקעה|16|אירו 1- בנק מזרחי|0.0550297842700223|ABR|['The value 0.0550297842700223 must have 2 numbers after decimal point']
מזומנים|שעור מסך נכסי השקעה|17|דולר אוסטרלי- בנק מזרחי|2.171117287018815e-07|ABR|['The value 2.171117287018815e-07 must have 2 numbers after decimal point']
מזומנים|שעור מסך נכסי השקעה|18|דולר ארה\"ב- בנק לאומי|0.04311910768877051|ABR|['The value 0.04311910768877051 must have 2 numbers after decimal point']
מזומנים|שעור מסך נכסי השקעה|19|דולר ארה\"ב- בנק מזרחי|0.4411061013551455|ABR|['The value 0.4411061013551455 must have 2 numbers after decimal point']
מזומנים|שעור מסך נכסי השקעה|20|דולר קנדי- בנק לאומי|0.0022924853537685374|ABR|['The value 0.0022924853537685374 must have 2 numbers after decimal point']
מזומנים|שעור מסך נכסי השקעה|21|דולר קנדי- בנק מזרחי|0.0005020176927814495|ABR|['The value 0.0005020176927814495 must have 2 numbers after decimal point']
מזומנים|שעור מסך נכסי השקעה|22|יין יפני- בנק לאומי|0.000602356500210474|ABR|['The value 0.000602356500210474 must have 2 numbers after decimal point']
מזומנים|שעור מסך נכסי השקעה|23|יין יפני- בנק מזרחי|0.011527253905763328|ABR|['The value 0.011527253905763328 must have 2 numbers after decimal point']
מזומנים|שעור מסך נכסי השקעה|24|כתר דני- בנק מזרחי|0.0001528878609115462|ABR|['The value 0.0001528878609115462 must have 2 numbers after decimal point']
מזומנים|שעור מסך נכסי השקעה|25|כתר שבדי- בנק מזרחי|0.0008916674993871204|ABR|['The value 0.0008916674993871204 must have 2 numbers after decimal point']
מזומנים|שעור מסך נכסי השקעה|26|לי\"שט- בנק לאומי|0.00017911820243206046|ABR|['The value 0.00017911820243206046 must have 2 numbers after decimal point']
מזומנים|שעור מסך נכסי השקעה|27|לי\"שט- בנק מזרחי|0.04614141330453134|ABR|['The value 0.04614141330453134 must have 2 numbers after decimal point']
מזומנים|שעור מסך נכסי השקעה|28|פרנק שוויצרי- בנק לאומי|1.1866205456340219e-08|ABR|['The value 1.1866205456340219e-08 must have 2 numbers after decimal point']
מזומנים|שעור מסך נכסי השקעה|29|פרנק שוויצרי- בנק מזרחי|0.00027405284030119077|ABR|['The value 0.00027405284030119077 must have 2 numbers after decimal point']
מזומנים|שעור מסך נכסי השקעה|31|פ.ח.ק.- בנק לאומי|0.014993735011779011|ABR|['The value 0.014993735011779011 must have 2 numbers after decimal point']
מזומנים|שעור מסך נכסי השקעה|32|פ.ח.ק.- בנק מזרחי|1.045842759540085|ABR|['The value 1.045842759540085 must have 2 numbers after decimal point']
מזומנים|שעור מסך נכסי השקעה|33|פ.ח.ק.- בנק מזרחי|0.00018829794488818576|ABR|['The value 0.00018829794488818576 must have 2 numbers after decimal point']
מזומנים|שעור מסך נכסי השקעה|34|עו\"ש שקלי-אחר|0.5086005889581074|ABR|['The value 0.5086005889581074 must have 2 numbers after decimal point']
מזומנים|שעור מסך נכסי השקעה|35|פח\'\'ק|2.4226504460694893|ABR|['The value 2.4226504460694893 must have 2 numbers after decimal point']
מזומנים|שעור מסך נכסי השקעה|37|פקדון פועלים לא צמוד - 0.35% שקלי 30.3.2018|0.6314373175766337|ABR|['The value 0.6314373175766337 must have 2 numbers after decimal point']
מזומנים|שעור מסך נכסי השקעה|38|פקדון חודשי פדיון קבוע- בנק לאומי|0.04135324593542297|ABR|['The value 0.04135324593542297 must have 2 numbers after decimal point']
מזומנים|שעור מסך נכסי השקעה|39|פקדון לאומי 0.25% לא צמוד 13.7.2018|0.2702870089673988|ABR|['The value 0.2702870089673988 must have 2 numbers after decimal point']
מזומנים|שעור מסך נכסי השקעה|40|פקדון מזרחי לא צמוד 0.2% 29.6.2018|0.6847074022947346|ABR|['The value 0.6847074022947346 must have 2 numbers after decimal point']
מזומנים|שעור מסך נכסי השקעה|41|פקדון מזרחי לא צמוד 0.35%|0.5412216248519707|ABR|['The value 0.5412216248519707 must have 2 numbers after decimal point']
מזומנים|שעור מסך נכסי השקעה|43|פקדון ירושלים צמוד +0.55 עד 10.2.2018|0.18061075218621575|ABR|['The value 0.18061075218621575 must have 2 numbers after decimal point']
מזומנים|שעור מסך נכסי השקעה|44|פקדון שנתי 0.31 27.2.2018 צמוד מדד|0.4528632244706764|ABR|['The value 0.4528632244706764 must have 2 numbers after decimal point']
מזומנים|שעור מסך נכסי השקעה|48|ביטחונות CSA במטבע 19|-0.003828756854149649|ABR|['The value -0.003828756854149649 must have 2 numbers after decimal point']
מזומנים|שעור מסך נכסי השקעה|49|כתר שוודי|0.0033809916297497054|ABR|['The value 0.0033809916297497054 must have 2 numbers after decimal point']
מזומנים|שעור מסך נכסי השקעה|50|דולר קנדי|0.008432465713824562|ABR|['The value 0.008432465713824562 must have 2 numbers after decimal point']
מזומנים|שעור מסך נכסי השקעה|51|שיקוף לירה טורקית חד|7.56619386321202e-08|ABR|['The value 7.56619386321202e-08 must have 2 numbers after decimal point']
מזומנים|שעור מסך נכסי השקעה|52|דולר ניו זילנד|0.0001554772359530585|ABR|['The value 0.0001554772359530585 must have 2 numbers after decimal point']
מזומנים|שעור מסך נכסי השקעה|53|כתר נורבגי|1.1009664458967193e-05|ABR|['The value 1.1009664458967193e-05 must have 2 numbers after decimal point']
מזומנים|שעור מסך נכסי השקעה|54|פזו מכסיקני|0.005222551457464158|ABR|['The value 0.005222551457464158 must have 2 numbers after decimal point']
מזומנים|שעור מסך נכסי השקעה|55|פרנק שוויצרי|0.0001808016996651385|ABR|['The value 0.0001808016996651385 must have 2 numbers after decimal point']
מזומנים|שעור מסך נכסי השקעה|56|רובל רוסי שיקוף|2.980506014138637e-06|ABR|['The value 2.980506014138637e-06 must have 2 numbers after decimal point']
מזומנים|שעור מסך נכסי השקעה|57|ריאל ברזילאי-אחר|4.3002810909107494e-10|ABR|['The value 4.3002810909107494e-10 must have 2 numbers after decimal point']
מזומנים|שעור מסך נכסי השקעה|58|אירו|0.06810637049837122|ABR|['The value 0.06810637049837122 must have 2 numbers after decimal point']
מזומנים|שעור מסך נכסי השקעה|59|דולר אוסטרלי|0.00383325736549575|ABR|['The value 0.00383325736549575 must have 2 numbers after decimal point']
מזומנים|שעור מסך נכסי השקעה|60|דולר ארה\"ב|0.1898962014436262|ABR|['The value 0.1898962014436262 must have 2 numbers after decimal point']
מזומנים|שעור מסך נכסי השקעה|61|דולר הונג קונג יציג- בנק מזרחי|3.3299054881048158e-06|ABR|['The value 3.3299054881048158e-06 must have 2 numbers after decimal point']
מזומנים|שעור מסך נכסי השקעה|62|דולר הונג קונג יציג|1.6438916442307625e-05|ABR|['The value 1.6438916442307625e-05 must have 2 numbers after decimal point']
מזומנים|שעור מסך נכסי השקעה|63|יין יפני|0.05567108225191502|ABR|['The value 0.05567108225191502 must have 2 numbers after decimal point']
מזומנים|שעור מסך נכסי השקעה|64|לי\"שט|0.04170050134020034|ABR|['The value 0.04170050134020034 must have 2 numbers after decimal point']
מזומנים|שעור מסך נכסי השקעה|65|פקדון $ הפועלים 25.09 עד 26.12|0.014809354718334146|ABR|['The value 0.014809354718334146 must have 2 numbers after decimal point']
מזומנים|שעור מסך נכסי השקעה|66|פקדון $ לאומי 31.08 עד 30.11|0.003451961144386793|ABR|['The value 0.003451961144386793 must have 2 numbers after decimal point']
מזומנים|שעור מסך נכסי השקעה|67|פקדון & הפועלים 01.03 עד|0.002646935962329872|ABR|['The value 0.002646935962329872 must have 2 numbers after decimal point']
מזומנים|שעור מסך נכסי השקעה|68|פקדון פמ\"ח|3.3245152286846515e-06|ABR|['The value 3.3245152286846515e-06 must have 2 numbers after decimal point']
מזומנים|שעור מסך נכסי השקעה|69|פקדון $ לאומי 07.09 עד 03.10|0.002446294491243249|ABR|['The value 0.002446294491243249 must have 2 numbers after decimal point']
מזומנים|שעור מסך נכסי השקעה|70|פקדון $ לאומי 11.09 עד 10.10|0.008779747795343884|ABR|['The value 0.008779747795343884 must have 2 numbers after decimal point']
